ID,NumberPhenotypes
5,'0111000111000100010001100111000110010110110101000011010111001',1
5,'0111000111000100010001101111001110010110110101000011010011001',1
5,'0101000111000100110001100111000110010110110101000011010111001',1
5,'0011110100010001000110101011010011010101110000100110111101110',1

6,'0100110110110010101011011110010100011010000011010011001001010',8
6,'1110100111110100111101100100111111011111011100000011011100100',2
6,'1010010110110010111101011110000111001111001111011011000101011',1
6,'0111000111000100010001101111000110110110110101010011010011001',5
6,'1000111101010111000101110010001110110111111011011100010101000',2
6,'0100011100010111000000111111110000011110011001110111100010010',5
6,'1010010110110010111101111110000111001111101111011011000101011',15
6,'0111101110010001010101010101110011011010000100000011110001110',6
6,'0110000111000100010001101111000110110110110101010011010011001',4
6,'0100010110110000101011011110010100111010000011010011001001010',6
6,'1011010110110010111001111110101111001111100111011011001101011',4
6,'0010011110101101000111001010101101111011110000010111101011011',1
6,'1111000111000100110001100111000110010110110101010011010010000',2
6,'1010110110110010111101111110000111001110101111011011000101011',2
6,'0100010110110000101011010110010100110010000011010011001001010',2
6,'1000010110101000101011111100001010111110010001011111110001100',4
6,'0111000111000000010001101111001110110110100101010010010011001',1
6,'1100001111110000011000000010001100010000011000011100010001001',6
6,'1110100111010100011101100100111111011111011110000011011100100',8
6,'0111100111000100010001100111000110010110110101010011010111001',1
6,'0010011110101101000110001010101101111111110000010111001011011',1
6,'1101011100000101011111101111001100101001011000011011000011110',1
6,'1010010110110010111101111110000111001111101110011011000101011',2
6,'1111001111110111011010100010110101010101111100100111011001110',3
6,'1111001111110111011010100010010101010101111100110111011001110',1
6,'0111000111000100010001100111000110010110110101010011010111001',1
6,'0111000111000100010001101111001110010110110101000011010011001',2
6,'1101011100000111011110101111001101101001011000011111001011110',1
6,'0100010110110000101011011111010100111010000011000011001001010',1
6,'0100011100010111000000111111110000011110011001110111100010011',1
6,'0110010110110010101011011110000100111010000011000011001001010',1

7,'0000010110101000101011111100001010111110010001011111110001100',1
7,'1110100111110100111101100100111111011111011100000011011100100',2
7,'1010010110110010111101011110000111001111001111011011000101011',2
7,'0111000111000100010001101111000110110110110101010011010011001',8
7,'0110000111000100010001101111000110110110110101010011010011001',4
7,'0100011100010111000000111111110000011110011001110111100010010',4
7,'0111000111000100010001101111001110010110110101000011010011001',4
7,'0111000111000110010000101111001100110110110101010011011011001',1
7,'1011010110110010111001111110101111001111100111011011001101011',6
7,'0101000111100000010000101111000110110110110101010011010011001',1
7,'0100110110110010101011011110010100011010000011010011001001010',6
7,'1110100111010100011101100100111111011111011110000011011100100',12
7,'0111101110010001010101010101110011011010000100000011110001110',6
7,'0111100111000100010001100111000110010110110101010011010111001',2
7,'0100010110110000101011010110010100110010000011010011001001010',2
7,'1010010110110010111101111110000111001111101111011011000101011',14
7,'0100010110110000101011011111010100111010000011000011001001010',2
7,'0100011100010111000000111111110000011110011001110111100010011',2
7,'1000010110101000101011111100001010111110010001011111110001100',3
7,'1100001111110000011000000010001100010000011000011100010001001',4
7,'0010011110101101000110001010101101111111110000010111001011011',2
7,'1011010110110010111101111110000111101111101101011011000100011',1
7,'1111000111000100110001100111000110010110110101010011010010000',2
7,'1010010110110010111101111100000111001111101111011011000101011',1
