ID,NumberPhenotypes
3,'1111001111010011000101011011101001111110000001101011110100111011001',1
3,'1001001110011000011101010110011011011011110111010000001010111100010',4
3,'0001011100010110111000001101011111000010100110101101000000110101100',2
3,'1011011111011000001000010111111010000100111000100010101100001110000',4
3,'1010001100110101111110101110010001110001111010111111001111010011011',1
3,'1010111101010000111011111110100100010111111111011001100110111100001',1
3,'1011111101110010011111111001101111111111101110110110000001100011001',2
3,'0101011101100100000011000000111110101111111011111100000110110010110',4
3,'0110101111110110110101000100111100001000010100101110110010001011100',3
3,'1110000110011100000000111110010001111101010000101111100101100001010',1
3,'0100101111110110110101000100110100001000010000001110110010000011100',1
3,'1010111101010000111011111110100110110111111111011000100110111100001',1
3,'1000100111100001100101010001001000100110000001000110001111000101001',1
3,'0100101101101100101011011010110000100011101101011001111011111100100',2
3,'0111001111000011000101010010101001111110000001101011110101111011001',2
3,'0100000101000101010010010111001101101110100010111011011001111101100',2
3,'1001110111100110001110101011001100100101010010000000100110011001111',2
3,'1000100010110001110001000111000011010101000010100011000111101010101',2
3,'1110001101110101111110101110010001110001111010111111001111011011011',1
3,'0100100101000101010010010011001101100110100000010011011101111101100',1
3,'1110010111100001010001001010110100110101101001101110101100100110100',2
3,'0100100101000101010010010011001101101110100000010011011001111101100',1

4,'1010011101110110111100010000000111011010101010010000011110000001111',12
4,'1010111101010000111011111110100110010111111111011000100110111100001',7
4,'1100011111011011110110110100110110101011110010101000110110100110010',6
4,'1011111101110010011111111001001111111111101111110110000000100011001',4
4,'0000000101000101010010010101001101101110100010111011011001111101100',2
4,'1110000110011100000000111110011001111101010000101111110101100001010',8
4,'1110000110011100000000111110010001111101010000101111100101100001010',2
4,'0100100110001011111011001001010111011101101101010110100111111111000',2
4,'1110000110011100010000111110011001111101010010101111110101100001010',2
4,'1001010111100110001110101011001100100101010010000000110110111101111',4
4,'1000100111100001100101010001001000100110000011010110001101000101001',2
4,'1010010100111111000010000111110001111111000100011011111110110100100',2
4,'1011111101110010011111111001101111111111101110110110000001100010001',1
4,'1001111101110001010111010010100101110100111010000111111110011011001',3
4,'1111001111010011000101011011101001111110000001101011110100111011001',2
4,'1001001110011000011101010110011011011011110111010000001010111100010',5
4,'0111001111000011000101011010101001111110000011101011110101111011001',2
4,'0001011100010110111000001101011111000010100110101101000000110101100',2
4,'0100101111110110110101000100110100001000010000001110110010000011100',2
4,'0100000101000101010010010111001111101110100010111011011001111101100',1
4,'1011111101110010011111111001101111111111101110110110000001100011001',3
4,'1000010110011001000001001000011000101000011111010100110011011001111',2
4,'0110101111110110110101000100111100001000010100101110110010001011100',4
4,'0101011101100100000011000000111110101111111011111100000110110010110',2
4,'0010111101010000111011111110100110111111111111011000100110111100001',1
4,'1000100010110001110001000111000011010101000010100011000111101010101',2
4,'1001001110011000011101010110011010001011110111010000001010111000010',1
4,'0111001111000011000101010010101001111110000001101011110101111011001',3
4,'0100100101000101010010010011001101101110100000010011011001111101100',2
4,'0110001110000011000101011010001001111110000001101011110101111011001',1
4,'1010011101110110111100010000000111111010101010010000011110000001111',1
4,'0100000101000101010010010111001101101110100010111011011001111101100',1
4,'1110010111100001010001001010110100110101101001101110101100100110100',4
4,'1000111101110001010111010010100101110100111011000111111110010011001',1
4,'1010011101110110111100010000000101011010101010110000011110000001111',1

5,'1010011101110110111100010000000111011010101010010000011110000001111',10
5,'1010111101010000111011111110100110010111111111011000100110111100001',4
5,'0100000101000101010010010111001111101110100010111011011001111101100',2
5,'0110100111110100110101000100111101001000010100101110110010001011000',1
5,'1001001110011000011101010110011011011011110111010000001010111100010',8
5,'0101011101100100000011000000111110101111111011111100000110110010110',2
5,'0111001111000011000101011010101001111110000011101011110101111011001',2
5,'1100011111011011110110110100110110101011110010101000110110100110010',6
5,'1110000110011100010000111110011001111101010010101111110101100001010',4
5,'0010111101010000111011111110100110111111111111011000100110111100011',1
5,'1000100111100001100101010001001000100110000011010110001101000101001',2
5,'1001111101110001010111010010100101110100111010000111111110011011001',4
5,'0000000101000101010010010101001101101110100010111011011001111101100',2
5,'1000010110011001000001001000011000101000011111010100110011011001111',4
5,'1111001111010011000101011011101001111110000001101011110100111011001',2
5,'1110000110011100000000111110011001111101010000101111110101100001010',11
5,'0100101111110110110101000100110100001000010000001110110010000011100',3
5,'0110101111110110110101000100111100001000010100101110110010001011100',5
5,'1011111101110010011111111001101111111111101110110110000001100011001',2
5,'1001010111100110001110101011001100100101010010000000110110111101111',4
5,'1110000110011100100000111110011000111101010100101111110101100001010',1
5,'0001011100010110111000001101011111000010100110101101000000110101100',2
5,'0010111101010000111011111110100110111111111111011000100110111100001',1
5,'0111001111000011000101010010101001111110000001101011110101111011001',4
5,'1011111101110010011111111001001111111111101111110110000000100011001',3
5,'1001001110011000011101010110011010001011110111010000001010111000010',2
5,'1110010111100001010001001010110100110101101001101110101100100110100',4
5,'1110010111100001010101001000110100100101101011101110101101100110100',1
5,'0100101111110110111101000100110100001000010010001110110100000011110',1
5,'1011111111110010011111111001001111111111101111110110000000100011001',1
5,'1110010110100001010101001010110100110001101001101110101110100110100',1

6,'0110100111110100110101000100111101001000010100101110110010001011000',2
6,'1010111101010000111011111110100110010111111111011000100110111100001',4
6,'0100101111110110111101000100110100001000010010001110110100000011110',2
6,'0100000101000101010010010111001111101110100010111011011001111101100',1
6,'1001001110011000011101010110011011011011110111010000001010111100010',10
6,'1110000110011100010000111110011001111101010010101111110101100001010',4
6,'1000010110011001000001001000011000101000011111010100110011011001111',4
6,'1100011111011011110110110100110110101011110010101000110110100110010',7
6,'0000000101000101010010010101001101101110100010111011011001111101100',2
6,'0100000101100101010010010111001111101110100010111011011001111101100',1
6,'1111111101010000111001111110100111010111111111011000100110111100001',1
6,'1001111101110001010111010010100101110100111010000111111110011011001',3
6,'1110000110011100000000111110011000111101010000101111110101100001000',1
6,'1101001111010011000101011011101010111111000001101011110100111011001',1
6,'0111001111000011000101010010101001111110000001101011110101111011001',4
6,'1111001111010011000101011011101001111110000001101011110100111011001',1
6,'1010011101110110111100010000000111011010101010010000011110000001111',3
6,'1110000110011100100000111110011000111101010100101111110101100001010',2
6,'1110000110011100000000111110011001111101010000101111110101100001010',10
6,'0100101111110110110101000100110100001000010000001110110010000011100',5
6,'1110010111100001010001001010110100110101101001101110101100100110100',2
6,'1010111101010000111011111110100110010111111111011000100100111100001',1
6,'1011111101110010011111111001101111111111101110110110000001100011001',2
6,'1001010111100110001110101011001100100101010010000000110110111101111',5
6,'0110101111110110110101000100111100001000010100101110110010001011100',5
6,'0010111101010000111011111110100110111111111111011000100110111100001',2
6,'1010011001110110111100010000000101011010101010010000011110000001111',1
6,'1001111101110001010111010010100101110100111010000111011110011011001',1
6,'1001001110011000011101010110011010001011110111010000001010111000010',2
6,'1011111101110010011111111001001111111111101111110110000000100011001',2
6,'0001011100010110111000001101011111000010100110101101000000110101100',2
6,'1110000100011100000000111110011001111101010100101111110101100001010',1
6,'0100101111110110110101000100110101011000010000100110110010010011100',1
6,'1001110111100110101110101011001100100101010110000000110100111101111',1
6,'1011111111110010011111111001001111111111101111110110000000100011001',2
6,'0110101111110110110101010100111100001000010100101110110010001011100',1
6,'1110011111011001110110110100110010101011110010101000110110100110010',1

7,'0110100111110100110101000100111101001000010100101110110010001011000',4
7,'1010111101010000111011111110100110010111111111011000100110111100001',5
7,'0100101111110110111101000100110100001000010010001110110100000011110',2
7,'1010011101110110111100010000000101011010101000010000011110000001111',1
7,'1001001110011000011101010110011011011011110111010000001010111100010',11
7,'1110000110011100010000111110011001111101010010101111110101100001010',7
7,'1000010110011001000001001000011000101000011111010100110011011001111',4
7,'1100011111011011110110110100110110101011110010101000110110100110010',6
7,'1110000110011100000000111110011001111101010000101111110101100001010',10
7,'1011111111110010011111111001001111111111101111110110000000100011001',2
7,'1111111101010000111001111110100111010111111111011000100110111100001',2
7,'1001111101110001010111010010100101110100111010000111111110011011001',5
7,'1101001111010011000101011011101010111111000001101011110100111011001',2
7,'0111001111000011000101010010101001111110000001101011110101111011001',2
7,'1011111101110010011111111001001111111111101111110110000000100011001',2
7,'1111001111010011000101011011101001111110000001101011110100111011001',2
7,'1010011101110110111100010000000111011010101010010000011110000001111',1
7,'0100101111110110110101000100110100001000010000001110110010000011100',2
7,'1110010111100001010001001010110100110101101001101110101100100110100',4
7,'1010111101010000111011111110100110010111111111011000100100111100001',2
7,'0110101111110110110101010100111100001000010100101110110010001011100',2
7,'0010111101010000111011111110100110111111111111011000100110111100001',2
7,'0110101111110110110101000100111100001000010100101110110010001011100',6
7,'1110000110011100100000111110011000111101010100101111110101100001010',2
7,'1001111101110001110111010011100100110100111010000111011110011011001',1
7,'1001001110011000011101010110011010001011110111010000001010111000010',4
7,'1001111101110001010111010010100101110100111010000111011110011011001',1
7,'1001111101110001010111010010100001110100111010000111111110011011001',1
7,'1001001110011000011101110010011011111011010111010000001010110100010',1
7,'1011111101110010011111111001101111111111101110110110000001100011001',2
7,'1110000111011100010000111111011001111111010010101111111101100001000',1
7,'1000111101010000111011111010100110010111101110011000100110101100001',1

8,'0110101111110110110101000100111100001000010100101110110010001011100',9
8,'1010111101010000111011111110100110010111111111011000100110111100001',5
8,'1111111101010000111001111110100111010111111111011000100110111100001',4
8,'0110100111110100110101000100111101001000010100101110110010001011000',4
8,'1001001110011000011101010110011011011011110111010000001010111100010',12
8,'1000010110011001000001001000011000101000011111010100110011011001111',6
8,'1100011111011011110110110100110110101011110010101000110110100110010',8
8,'1000111101010000111011111010100110010111101110011000100110101100001',2
8,'1101001111010011000101011011101010111111000001101011110100111011001',1
8,'0111001111000011000101010010101001111110000001101011110101111011001',2
8,'1110000110011100000000111110011001111101010000101111110101100001010',11
8,'1111001111010011000101011011101001111110000001101011110100111011001',4
8,'1101001101010011000101011011101010111111000001101011110100011011101',1
8,'0110101111110110110100000100111100001000010100101110110010001011100',1
8,'0010111101010000111011111110100110011111101111111001100110111110001',1
8,'1110000110011100010000111110011001111101010010101111110101100001010',6
8,'1001111101110001010111010010100101110100111010000111111110011011001',2
8,'0100101111110110110101000100110100001000010000001110110010000011100',2
8,'1001111101110001010111010010100101110100111010000111011110011011001',2
8,'0110101111110110110101010100111100001000010100101110110010001011100',2
8,'1010111101010000111011111110100110010111111111011000100100111100001',2
8,'0010111101010000111011111110100110111111111111011000100110111100001',1
8,'1110010111100001010001001010110100110101101001101110101100100110100',2
8,'0110000110011100000010111110011001101101010000101111100101000001010',1
8,'1001001110011000011101010110011010001011110111010000001010111000010',2
8,'1011111111110010011111111001001111111111101111110110000000100011001',2
8,'1011111101010000111011111110100110110011111111011000100010111100001',1
8,'1001001110011000011101110010011011111011010111010000001010110100010',2
8,'1110000111011100010000111111011001111111010010101111111101100001000',2

9,'0110101111110110110101000100111100001000010100101110110010001011100',10
9,'1001001110011000011101010110011011011011110111010000001010111100010',12
9,'0100101111110110110101000100110100001000010000001110110010000011100',2
9,'1111111101010000111001111110100111010111111111011000100110111100001',4
9,'0110101111010110110101000100111100001000010100111110011010001011100',1
9,'1001001110011000011001010110010010001011110111010000101010111000011',1
9,'1000010110011001000001001000011000101000011111010100110011011001111',5
9,'1010111101010000111011111110100110010111111111011000100110111100001',2
9,'1100011111011011110110110100110110101011110010101000110110100110010',10
9,'0110000110011100000010111110011001101101010000101111100101000001010',2
9,'1001001110011000011101010110010011011011110111010000001010111100010',1
9,'1110000110011100000000111110011001111101010000101111110101100001010',12
9,'1111010101100000000001001010110100110101101001101110101100100110101',1
9,'0111001111000011000101010010101001111110000001101011110101111011001',1
9,'1111001111010011000101011011101001111110000001101011110100111011001',5
9,'0110101111110110110100000100111100001000010100101110110010001011100',2
9,'1110000110011100010000111110011001111101010010101111110101100001010',4
9,'1010010100011001000001001000011000101000000111010100110011011001011',1
9,'1110010111100001010001001010110100110101101001101110101100100110100',3
9,'0110100111110100110101000100111101001000010100101110110010001011000',4
9,'1001001110011000011101010110011010001011110111010000001010111000010',3
9,'1011111111110010011111111001001111111111101111110110000000100011001',2
9,'0111001111000011010101010010101001111110000001101011110101111011001',1
9,'0110101111110110110101010100111100001000010100101110110010001011100',2
9,'1001001110011000011101000110011011011011110111010000001010111100010',1
9,'0110101111111110110101000100111100001000010100101110110010001011100',1
9,'1001001110011000011101110010011011111011010111010000001010110100010',4
9,'1111001111010011000101011001101000111110000001101011100100111010101',1
9,'1110000111011100010000111111011001111111010010101111111101100001000',2

10,'0110101111110110110101000100111100001000010100101110110010001011100',14
10,'1110000110011100010000111110011001111101010010101111110101100001010',4
10,'1100011111011011110110110100110110101011110010101000110110100110010',9
10,'1111111101010000111001111110100111010111111111011000100110111100001',5
10,'1110000110011100000000111110011001111101010000101111110101100001010',16
10,'1001001110011000011101010110011011011011110111010000001010111100010',13
10,'1001001110011000011001010110010010001011110111010000101010111000011',2
10,'1001001110011000011101110010011011111011010111010000001010110100010',4
10,'1010111101010000111011111110100110010111111111011000100110111100001',2
10,'1001001110011000011101010110010011011011110111010000001010111100010',2
10,'1111010101100000000001001010110100110101101001101110101100100110101',2
10,'1011111111110010001111111001001111111110101111110110000000100111001',1
10,'1111001111010011000101011011101001111110000001101011110100111011001',2
10,'1011111111110010011111111001001111111111101111110110000000100011001',3
10,'0100101111110110110101000100110100001000010000001110110010000011100',2
10,'1001001110011000111101010110011010011011110111010000001010111100010',1
10,'1000010110011001000001001000011000101000011111010100110011011001111',5
10,'1001001110010000011101010110011010001011110111010000011011111001010',1
10,'0110101101110100110101000100111100001100010100100111110010001011100',1
10,'0110101111111110110101000100111100001000010100101110110010001011100',2
10,'1100011111011011110110110100110100101011110011111000110110100110010',1
10,'0110101111110110110101000100111100000000010100101110110010101111100',1
10,'1001001110011000011101000110011011011011110111010000001010111100010',2
10,'1110000111011100010000111111011001111111010010101111111101100001000',2
10,'1111111001010000111001011111100111010111111111111001100110111100001',1
10,'1000010110011001000001001000011000101000011111010100110011011001101',1
10,'1001001110011000011101010110011010001011110111010000001010111000010',1

11,'1110100110011110100000111110011001111101010000101111011101100001010',1
11,'1110000110011100010000111110011001111101010010101111110101100001010',6
11,'1110000111011100010000111111011001111111010010101111111101100001000',4
11,'1110000110011100000000111110011001111101010000101111110101100001010',13
11,'1001001110011000011001010110010010001011110111010000101010111000011',2
11,'1001001110011000011101110010011011111011010111010000001010110100010',4
11,'1001001110011000011101010110011011011011110111010000001010111100010',10
11,'1001001110010000011101010110011010001011110111010000011011111001010',2
11,'0110101111110110110101000100111100001000010100101110110010001011100',17
11,'1001001110011000011101010110010011011011110111010000001010111100010',4
11,'1100011111011011110110110100110110101011110010101000110110100110010',8
11,'1011111111110010001111111001001111111110101111110110000000100111001',2
11,'0110101111110110110101000100111100000000010100101110110010101111100',2
11,'1011111111110010011111111001001111111111101111110110000000100011001',4
11,'1111111101010000111001111110100111010111111111011000100110111100001',6
11,'1110000110011110000000111110011001101101010000101111110101100001010',1
11,'0100101111110110110101000100110100001000010000001110110010000011100',2
11,'0110111111010110110100000100111100001000010100101110110010001011100',1
11,'1110101111110110110101000100111100001000110100101110110010001001100',1
11,'0110101111100110110101000100111100001000010100101110110110001011101',1
11,'1001001110011000011101000110011011011011110111010000001010111100010',2
11,'1001001110011100011101010010011001011011110111010001001010111100010',1
11,'1000010110011001000001001000011000101000011111010100110011011001101',2
11,'1110000110011110000000010110011001111100010000101111110111100001010',1
11,'0110101111111110110101000100111100001000010100101110110010001011100',2
11,'1001001110011000011101010110011011011011110110010000001010111100010',1

12,'0110101111100010110101000100111100001000010100101110110010001011100',1
12,'0110101111110110110101000100111100001000010100101110110010001011100',16
12,'1110000111011100010000111111011001111111010010101111111101100001000',4
12,'1110000110011100000000111110011001111101010000101111110101100001010',6
12,'1011111111110010011111111001001111111111101111110110000000100011001',2
12,'0100101111110110110101000100110100001000010000001110110010000011100',2
12,'1001001110011000011101110010011011111011010111010000001010110100010',6
12,'1001001110011000011101010110011011011011110111010000001010111100010',12
12,'1001001110010000011101010110011010001011110111010000011011111001010',4
12,'1110000110011110000000111110011001101101010000101111110101100001010',2
12,'1001001110011000011101010110010011011011110111010000001010111100010',5
12,'1100011111011011110110110100110110101011110010101000110110100110010',5
12,'1001001110011000011001010110010010001011110111010000101010111000011',2
12,'1011111111110010001111111001001111111110101111110110000000100111001',2
12,'0110101111110110110101000100111100000000010100101110110010101111100',3
12,'1000010110011001000001001000011000101000011111010100110011011001101',2
12,'1001001110011100011101010010011001011011110111010001001010111100010',2
12,'0110100111110110110101100100111100001000010100101110110010001011100',1
12,'1111111101010000111001111110100111010111111111011000100110111100001',4
12,'1110000110011100000000010110011001011100010000101101111111100001010',1
12,'0110101111100110110101000100111100001000010100101110110110001011101',2
12,'1001001110011000011101000110011011011011110111010000001010111100010',2
12,'0110101111110110110101000100111100000000010101101110110010111111100',1
12,'1001001110011000011101010110010011011011110111000010001000111100010',1
12,'1110000110011100010000111110011001111101010010101111110101100001010',3
12,'1110010110001110010000111110011011111101010010101111110101100001010',1
12,'1110000110011110000000010110011001111100010000101111110111100001010',1
12,'0110001101110110110101000100111100001000000100111110110010001011100',1
12,'0010101111110100010101000100111100001000010100101110110010001011100',1
12,'1110000110011100000000111110011001111101010000101111100101100001010',1
12,'1111111101010000111001111110100111010111111111011001100100111100001',1
12,'1110000110011000000000111110011001111101010000101111110101100001010',1
12,'1100011111011011110100110100110110101011110010101000110110100110010',1
12,'1111111101010000111001111110100111010111111111011000100110111101001',1

13,'0110101111100010110101000100111100001000010100101110110010001011100',2
13,'0110101111110110110101000100111100001000010100101110110010001011100',12
13,'1110000111011100010000111111011001111111010010101111111101100001000',4
13,'1110000110011100000000111110011001111101010000101111110101100001010',10
13,'1011111111110010011111111001001111111111101111110110000000100011001',4
13,'1001001110010000011101010110011010001011110111010000011011111001010',8
13,'1001001110011000011101110010011011111011010111010000001010110100010',6
13,'1001001110011000011101010110010011011011110111000010001000111100010',2
13,'1110000110011110000000111110011001101101010000101111110101100001010',3
13,'1100011111111011110110101100110111101011110011101000110110100110010',1
13,'1001001110011000011001010110010010001011110111010000101010111000011',4
13,'1100011111011011110110110100110110101011110010101000110110100110010',3
13,'1011111111110010001111111001001111111110101111110110000000100111001',3
13,'1111111101010000111001111110100111010111111111011000100110111100001',4
13,'1001001110011000011101010110011011011011110111010000001010111100010',6
